21,35,77,35,77,64,21,64,JOB
92,35,232,35,232,64,92,64,SEEKERS
20,83,76,83,76,97,20,97,APPLY
84,83,109,83,109,97,84,97,###
116,83,164,83,164,97,116,97,JOBS.
22,108,65,108,65,122,22,122,POST
73,108,126,108,126,122,73,122,YOUR
135,108,207,108,207,124,135,124,RESUME,
20,133,60,133,60,147,20,147,AND
69,133,96,133,96,147,69,147,SET
104,133,125,133,125,147,104,147,###
133,133,167,133,167,147,133,147,JOB
175,133,242,133,242,147,175,147,ALERTS.
44,222,255,222,255,243,44,243,careers.computer.org
