13,33,81,33,81,86,13,86,NOW
90,8,133,8,133,43,90,43,###
125,70,234,70,234,101,125,101,HALF
102,122,233,122,233,153,102,153,PRICE
253,69,547,69,547,157,253,157,SALE
527,188,557,188,557,208,527,208,Sale
562,169,594,169,594,190,562,190,ends
597,149,627,149,627,171,597,171,21st
632,136,659,136,659,154,632,154,Jan.
188,228,238,228,238,245,188,245,Click
248,228,294,228,294,245,248,245,here
303,228,332,228,332,245,303,245,for
341,228,365,228,365,245,341,245,all
375,228,416,228,416,245,375,245,sale
425,228,482,228,482,245,425,245,items
