556,24,578,24,578,31,556,31,From
552,34,634,34,634,88,552,88,###
611,92,631,92,631,102,611,102,/day
39,110,100,110,100,126,39,126,Bulgaria
36,135,101,135,101,152,36,152,£10/day
53,185,84,185,84,200,53,200,Italy
35,210,101,210,101,227,35,227,£16/day
161,186,190,186,190,198,161,198,USA
143,211,208,211,208,228,143,228,£16/day
43,259,95,259,95,271,43,271,Austria
38,284,103,284,103,301,38,301,£21/day
153,259,201,259,201,271,153,271,France
144,284,210,284,210,301,144,301,£22/day
26,335,115,335,115,347,26,347,Switzerland
35,360,100,360,100,376,35,376,£25/day
149,335,205,335,205,347,149,347,Canada
145,360,210,360,210,377,145,377,£25/day
525,356,570,356,570,371,525,371,Book
578,357,617,357,617,371,578,371,Now
626,359,637,359,637,371,626,371,###
