26,31,161,31,161,49,26,49,ARMOURY
172,31,274,31,274,54,172,54,SQUARE
102,67,145,67,145,74,102,74,FOREVER
151,67,198,67,198,73,151,73,ARSENAL
5,198,30,198,30,202,5,202,ARTISTS
32,197,70,197,70,203,32,203,IMPRESSION
16,217,41,217,41,223,16,223,FANS
48,217,53,217,53,223,48,223,###
61,216,108,216,108,223,61,223,LEGENDS
115,217,174,217,174,224,115,224,TOGETHER.
182,217,228,217,228,223,182,223,FOREVER
235,217,283,217,283,223,235,223,ARSENAL
41,232,60,232,60,238,41,238,Your
65,234,107,234,107,240,65,240,message,
112,234,132,234,132,240,112,240,your
136,232,160,232,160,238,136,238,stone
165,232,172,232,172,238,165,238,###
176,232,215,232,215,240,176,240,Armoury
219,232,251,232,251,240,219,240,Square
