19,23,266,23,266,61,19,61,EyeTrackUX
20,69,45,69,45,76,20,76,Tobii
51,69,68,69,68,78,51,78,Eye
73,69,118,69,118,78,73,78,Tracking
124,68,185,68,185,76,124,76,Conference
190,71,202,71,202,76,190,76,###
208,69,231,69,231,76,208,76,User
237,69,296,69,296,78,237,78,Experience
21,84,71,84,71,94,21,94,Leuven,
79,84,137,84,137,95,79,95,Belgium,
143,84,173,84,173,92,143,92,June
179,84,198,84,198,92,179,92,2-3
205,84,235,84,235,92,205,92,2010
301,8,314,8,314,15,301,15,###
320,8,340,8,340,15,320,15,THE
345,8,376,8,376,15,345,15,WEEK
379,35,408,35,408,46,379,46,placed
392,48,413,48,413,56,392,56,Flash
491,67,515,67,515,75,491,75,Friend
485,79,513,79,513,89,485,89,player
472,92,495,92,495,102,472,102,game
498,91,515,91,515,100,498,100,and
552,12,598,12,598,24,552,24,GAME
