136,23,163,23,163,51,136,51,Must
165,51,186,51,186,73,165,73,Go!
26,202,65,202,65,211,26,211,Chicco
70,202,115,202,115,211,70,211,Musical
122,202,157,202,157,214,122,214,Bunny
26,219,65,219,65,228,26,228,Rabbit
70,219,113,219,113,228,70,228,Stroller
121,219,142,219,142,231,121,231,Toy
25,247,48,247,48,256,25,256,Was
55,247,95,247,95,256,55,256,£11.97
26,265,63,265,63,277,26,277,NOW
71,265,111,265,111,277,71,277,£5.99
150,252,166,252,166,259,150,259,50%
171,252,185,252,185,259,171,259,Off
