9,9,112,9,112,30,9,30,sushiitto
9,35,48,35,48,45,9,45,Japanese
9,45,25,45,25,52,9,52,with
28,46,34,46,34,52,28,52,###
35,45,55,45,55,52,35,52,twist
9,213,67,213,67,223,9,223,Restaurant,
8,225,48,225,48,237,8,237,delivery
52,225,71,225,71,234,52,234,and
8,238,30,238,30,247,8,247,take
35,241,63,241,63,249,35,249,away
9,259,51,259,51,269,9,269,Londres,
56,259,73,259,73,268,56,268,103
9,271,55,271,55,282,9,282,Eixample
60,274,105,274,105,282,60,282,esquerre
8,284,40,284,40,293,8,293,08036
46,284,97,284,97,293,46,293,Barcelona
8,297,15,297,15,306,8,306,###
21,297,39,297,39,306,21,306,932
44,297,60,297,60,306,44,306,412
66,297,81,297,81,306,66,306,199
8,320,103,320,103,329,8,329,www.sushi-itto.es
