31,27,91,27,91,48,31,48,ASK.
104,27,231,27,231,48,104,48,ANSWER.
34,57,209,57,209,78,34,78,EXPERIENCE.
32,89,52,89,52,99,32,99,Ask
57,93,62,93,62,99,57,99,###
68,90,119,90,119,102,68,102,question,
124,89,144,89,144,99,124,99,fnd
149,93,162,93,162,99,149,99,###
167,93,209,93,209,101,167,101,answer,
215,89,246,89,246,99,215,99,share
251,93,257,93,257,99,251,99,###
261,89,305,89,305,99,261,99,solution
310,90,318,90,318,99,310,99,###
324,89,348,89,348,99,324,99,read
33,105,63,105,63,118,33,118,blogs
68,109,81,109,81,115,68,115,###
86,109,92,109,92,115,86,115,###
96,105,123,105,123,115,96,115,wide
127,106,164,106,164,118,127,118,variety
169,105,179,105,179,115,169,115,###
183,106,216,106,216,118,183,118,topics
220,105,242,105,242,115,220,115,with
248,106,263,106,263,115,248,115,###
267,106,343,106,343,115,267,115,communities.
